config,model,id,source,correct,steps,tool_calls,cost,seconds,answer,gold
без инструментов,claude-sonnet-4.6,fresh-0,fresh,False,1,0,0.00134999999999999,2.9,unknown,15 March
без инструментов,claude-sonnet-4.6,fresh-1,fresh,False,1,0,0.0008550000000000224,1.9,"April 24, 2025",22 March
без инструментов,claude-sonnet-4.6,fresh-2,fresh,False,1,0,0.0009509999999999796,2.5,unknown,Miguel Díaz-Canel
без инструментов,claude-sonnet-4.6,fresh-3,fresh,False,1,0,0.0009270000000000111,1.9,unknown,a strategic partnership agreement
без инструментов,claude-sonnet-4.6,fresh-4,fresh,False,1,0,0.0008279999999999954,1.8,unknown,A total fire ban
без инструментов,claude-sonnet-4.6,fresh-5,fresh,False,1,0,0.0007650000000000157,1.6,unknown,two people
без инструментов,claude-sonnet-4.6,fresh-6,fresh,False,1,0,0.0008939999999999781,2.1,unknown,"4,500"
без инструментов,claude-sonnet-4.6,fresh-7,fresh,False,1,0,0.0008879999999999999,1.9,unknown,Deniz Göktaş
без инструментов,claude-sonnet-4.6,fresh-8,fresh,False,1,0,0.0009419999999999984,2.4,unknown,Pavel Durov
без инструментов,claude-sonnet-4.6,fresh-9,fresh,False,1,0,0.0011040000000000216,2.4,unknown,New Delhi
без инструментов,claude-sonnet-4.6,fresh-10,fresh,False,1,0,0.001562999999999981,3.1,unknown,Twelve
без инструментов,claude-sonnet-4.6,fresh-11,fresh,False,1,0,0.0008610000000000007,2.0,unknown,Helter Skelter
без инструментов,claude-sonnet-4.6,fresh-12,fresh,False,1,0,0.0015000000000000013,3.1,unknown,"700,000"
без инструментов,claude-sonnet-4.6,fresh-13,fresh,False,1,0,0.0009930000000000216,2.4,unknown,41.5 °C
без инструментов,claude-sonnet-4.6,fresh-14,fresh,False,1,0,0.0013229999999999908,2.3,unknown,Ciudad Rodrigo
без инструментов,claude-sonnet-4.6,fresh-15,fresh,False,1,0,0.0008849999999999969,1.9,unknown,Oleksandr Syrskyi
без инструментов,claude-sonnet-4.6,fresh-16,fresh,False,1,0,0.001352999999999993,2.7,unknown,Montreal Victoire
без инструментов,claude-sonnet-4.6,fresh-17,fresh,False,1,0,0.0009659999999999946,2.2,unknown,EOS-05
без инструментов,claude-sonnet-4.6,fresh-18,fresh,False,1,0,0.0012510000000000021,2.9,unknown,13 July
без инструментов,claude-sonnet-4.6,fresh-19,fresh,False,1,0,0.0008340000000000014,1.8,unknown,Disney Kids & Family
без инструментов,claude-sonnet-4.6,fresh-20,fresh,True,1,0,0.002021999999999996,3.8,"Single-elimination knockout format (Round of 32), with 48 te",single-elimination
без инструментов,claude-sonnet-4.6,fresh-21,fresh,False,1,0,0.0009210000000000051,1.9,unknown,Gavin Snider
без инструментов,claude-sonnet-4.6,fresh-22,fresh,False,1,0,0.0014310000000000156,2.5,unknown,Clara and the Below
без инструментов,claude-sonnet-4.6,fresh-23,fresh,False,1,0,0.0009089999999999931,1.8,unknown,German Galushchenko
без инструментов,claude-sonnet-4.6,fresh-24,fresh,False,1,0,0.0007949999999999902,5.3,unknown,a drought
без инструментов,claude-sonnet-4.6,fresh-25,fresh,False,1,0,0.0009570000000000134,1.8,unknown,"""open war"""
без инструментов,claude-sonnet-4.6,fresh-26,fresh,False,1,0,0.0010890000000000066,2.2,unknown,nine
без инструментов,claude-sonnet-4.6,fresh-27,fresh,False,1,0,0.0009569999999999856,1.9,unknown,Markus Hinterhäuser
без инструментов,claude-sonnet-4.6,fresh-28,fresh,False,1,0,0.0012330000000000119,2.5,unknown,nine
без инструментов,claude-sonnet-4.6,fresh-29,fresh,False,1,0,0.0008549999999999947,1.8,unknown,43
без инструментов,claude-sonnet-4.6,fresh-30,fresh,False,1,0,0.0008610000000000007,1.9,unknown,Ankara
без инструментов,claude-sonnet-4.6,fresh-31,fresh,False,1,0,0.0008729999999999849,1.9,unknown,Aibek Dädebai
без инструментов,claude-sonnet-4.6,fresh-32,fresh,False,1,0,0.0010740000000000194,2.3,unknown,Richard Lewer
без инструментов,claude-sonnet-4.6,fresh-33,fresh,False,1,0,0.0011519999999999864,2.2,unknown,Marilyn Gladu
без инструментов,claude-sonnet-4.6,fresh-34,fresh,False,1,0,0.0008879999999999999,1.8,unknown,6.3
без инструментов,claude-sonnet-4.6,fresh-35,fresh,False,1,0,0.0008070000000000022,1.9,unknown,Dina Levačić
без инструментов,claude-sonnet-4.6,fresh-36,fresh,False,1,0,0.0011940000000000006,2.2,unknown,129
без инструментов,claude-sonnet-4.6,fresh-37,fresh,False,1,0,0.0007830000000000059,1.7,unknown,15 June
без инструментов,claude-sonnet-4.6,fresh-38,fresh,False,1,0,0.0009539999999999826,1.8,unknown,Chief Minister
без инструментов,claude-sonnet-4.6,fresh-39,fresh,False,1,0,0.0007800000000000029,1.7,unknown,Gelida
без инструментов,claude-sonnet-4.6,fresh-40,fresh,False,1,0,0.0009389999999999954,2.1,unknown,Vladimir Alekseyev
без инструментов,claude-sonnet-4.6,fresh-41,fresh,False,1,0,0.0008580000000000254,1.8,unknown,Thirty thousand people
без инструментов,claude-sonnet-4.6,fresh-42,fresh,False,1,0,0.001463999999999993,2.8,unknown,Prime Minister Narendra Modi
без инструментов,claude-sonnet-4.6,fresh-43,fresh,False,1,0,0.0012479999999999991,2.7,unknown,Zohran Mamdani
без инструментов,claude-sonnet-4.6,fresh-44,fresh,False,1,0,0.0011219999999999841,3.3,unknown,LHS 1140 b
без инструментов,claude-sonnet-4.6,fresh-45,fresh,False,1,0,0.0008790000000000187,1.7,unknown,F-16 Fighting Falcon
без инструментов,claude-sonnet-4.6,fresh-46,fresh,False,1,0,0.0013739999999999863,2.6,unknown,five
без инструментов,claude-sonnet-4.6,fresh-47,fresh,False,1,0,0.0010080000000000089,2.2,unknown,Education Minister
без инструментов,claude-sonnet-4.6,fresh-48,fresh,False,1,0,0.0007439999999999947,1.7,unknown,Mykhailo Fedorov
без инструментов,claude-sonnet-4.6,fresh-49,fresh,False,1,0,0.0014069999999999916,2.7,unknown,life imprisonment
без инструментов,claude-sonnet-4.6,fresh-50,fresh,False,1,0,0.0010020000000000029,1.8,unknown,"802,500 lira"
без инструментов,claude-sonnet-4.6,fresh-51,fresh,False,1,0,0.0009149999999999991,2.0,unknown,Bruno Foucher
без инструментов,claude-sonnet-4.6,fresh-52,fresh,False,1,0,0.0008009999999999962,1.8,unknown,5.2
